number,year,month,location,strain,sex,length,dev.stage
1,2019,July,PGB,aquaculture,m,101,spawned
2,2019,July,PGB,aquaculture,m,84,spawned
3,2019,July,PGB,aquaculture,m,83,spawned
4,2019,July,PGB,aquaculture,m,106,reabsorbing
5,2019,July,PGB,aquaculture,m,69,reabsorbing
6,2019,July,PGB,aquaculture,m,87,reabsorbing
7,2019,July,PGB,aquaculture,m,96,reabsorbing
8,2019,July,PGB,aquaculture,m,100,reabsorbing
9,2019,July,PGB,aquaculture,m,104,spawned
10,2019,July,PGB,aquaculture,m,102,mature
11,2019,July,PGB,aquaculture,m,97,reabsorbing
12,2019,July,PGB,aquaculture,m,80,spawned
13,2019,July,PGB,aquaculture,m,85,reabsorbing
14,2019,July,PGB,aquaculture,m,108,spawned
15,2019,July,PGB,aquaculture,m,103,reabsorbing
16,2019,July,PGB,aquaculture,m,97,reabsorbing
17,2019,July,PGB,aquaculture,m,109,spawned
18,2019,July,PGB,aquaculture,m,100,spawned
19,2019,July,PGB,aquaculture,m,97,reabsorbing
20,2019,July,PGB,aquaculture,m,91,reabsorbing
1,2019,July,IRV,wild,f,83,mature
2,2019,July,IRV,wild,m,53,mature
3,2019,July,IRV,wild,m,50,mature
4,2019,July,IRV,wild,f,86,mature
5,2019,July,IRV,wild,f,86,mature
6,2019,July,IRV,wild,f,64,mature
7,2019,July,IRV,wild,m,70,mature
8,2019,July,IRV,wild,f,74,spawned
9,2019,July,IRV,wild,m,67,mature
10,2019,July,IRV,wild,f,43,mature
11,2019,July,IRV,wild,m,57,mature
12,2019,July,IRV,wild,m,66,mature
13,2019,July,IRV,wild,f,81,mature
14,2019,July,IRV,wild,f,69,mature
15,2019,July,IRV,wild,m,60,mature
16,2019,July,IRV,wild,m,102,mature
17,2019,July,IRV,wild,f,63,mature
18,2019,July,IRV,wild,f,47,mature
19,2019,July,IRV,wild,f,63,mature
20,2019,July,IRV,wild,m,73,mature
1,2019,July,HH,wild,f,78,mature
2,2019,July,HH,wild,m,72,mature
3,2019,July,HH,wild,m,72,mature
4,2019,July,HH,wild,m,61,mature
5,2019,July,HH,wild,f,69,mature
6,2019,July,HH,wild,f,73,spawned
7,2019,July,HH,wild,m,56,mature
8,2019,July,HH,wild,f,55,mature
9,2019,July,HH,wild,m,52,mature
10,2019,July,HH,wild,f,52,mature
11,2019,July,HH,wild,f,66,spawned
12,2019,July,HH,wild,f,72,mature
13,2019,July,HH,wild,f,60,mature
14,2019,July,HH,wild,m,47,mature
15,2019,July,HH,wild,m,100,spawned
16,2019,July,HH,wild,f,50,mature
17,2019,July,HH,wild,m,70,mature
18,2019,July,HH,wild,m,34,mature
19,2019,July,HH,wild,m,64,mature
20,2019,July,HH,wild,m,61,late active
1,2019,July,KCC,wild,f,68,spawned
2,2019,July,KCC,wild,f,80,reabsorbing
3,2019,July,KCC,wild,m,62,spawned
4,2019,July,KCC,wild,m,65,spawned
5,2019,July,KCC,wild,f,82,mature
6,2019,July,KCC,wild,m,74,mature
7,2019,July,KCC,wild,f,106,mature
8,2019,July,KCC,wild,f,65,mature
9,2019,July,KCC,wild,m,77,mature
10,2019,July,KCC,wild,f,84,mature
11,2019,July,KCC,wild,m,83,mature
12,2019,July,KCC,wild,m,63,spawned
13,2019,July,KCC,wild,m,53,late active
14,2019,July,KCC,wild,m,74,mature
15,2019,July,KCC,wild,f,60,mature
16,2019,July,KCC,wild,m,87,spawned
17,2019,July,KCC,wild,f,63,mature
18,2019,July,KCC,wild,f,50,reabsorbing
19,2019,July,KCC,wild,m,43,spawned
20,2019,July,KCC,wild,m,96,spawned
1,2019,July,KCC,aquaculture,m,82,inactive
2,2019,July,KCC,aquaculture,m,83,reabsorbing
3,2019,July,KCC,aquaculture,f,99,spawned
4,2019,July,KCC,aquaculture,m,90,reabsorbing
5,2019,July,KCC,aquaculture,m,91,reabsorbing
6,2019,July,KCC,aquaculture,m,80,inactive
7,2019,July,KCC,aquaculture,m,89,inactive
8,2019,July,KCC,aquaculture,f,90,mature
9,2019,July,KCC,aquaculture,m,83,reabsorbing
10,2019,July,KCC,aquaculture,m,81,reabsorbing
11,2019,July,KCC,aquaculture,m,84,reabsorbing
12,2019,July,KCC,aquaculture,m,81,reabsorbing
13,2019,July,KCC,aquaculture,f,107,reabsorbing
