number,year,month,location,strain,sex,length,ds
1,2018,june,HH,wild,m,38,late active
2,2018,june,HH,wild,m,36,mature
3,2018,june,HH,wild,f,26,mature
4,2018,june,HH,wild,m,30,late active
5,2018,june,HH,wild,m,32,mature
6,2018,june,HH,wild,m,36,early active
7,2018,june,HH,wild,m,42,mature
8,2018,june,HH,wild,f,41,late active
9,2018,june,HH,wild,m,42,late active
10,2018,june,HH,wild,m,41,mature
11,2018,june,HH,wild,m,36,mature
12,2018,june,HH,wild,f,37,late active
13,2018,june,HH,wild,m,33,late active
1,2018,june,HH,hatchery,f,31,early active
2,2018,june,HH,hatchery,m,30,early active
3,2018,june,HH,hatchery,m,37,mature
4,2018,june,HH,hatchery,m,37,late active
5,2018,june,HH,hatchery,m,26,late active
6,2018,june,HH,hatchery,m,29,late active
7,2018,june,HH,hatchery,f,35,mature
8,2018,june,HH,hatchery,m,42,mature
9,2018,june,HH,hatchery,m,36,late active
10,2018,june,HH,hatchery,m,33,mature
11,2018,june,HH,hatchery,m,35,early active
12,2018,june,HH,hatchery,m,24,late active
13,2018,june,HH,hatchery,f,44,mature
1,2018,june,HH,aquaculture,f,56,late active
2,2018,june,HH,aquaculture,m,52,late active
3,2018,june,HH,aquaculture,m,50,late active
4,2018,june,HH,aquaculture,m,45,mature
5,2018,june,HH,aquaculture,m,52,late active
6,2018,june,HH,aquaculture,m,38,mature
7,2018,june,HH,aquaculture,f,50,mature
8,2018,june,HH,aquaculture,f,54,late active
9,2018,june,HH,aquaculture,m,43,mature
10,2018,june,HH,aquaculture,m,58,mature
11,2018,june,HH,aquaculture,m,36,late active
12,2018,june,HH,aquaculture,m,42,mature
13,2018,june,HH,aquaculture,m,49,mature
1,2018,june,SB,wild,m,54,spawned
2,2018,june,SB,wild,m,38,mature
3,2018,june,SB,wild,m,31,early active
4,2018,june,SB,wild,m,28,mature
5,2018,june,SB,wild,m,40,mature
6,2018,june,SB,wild,m,31,spawned
7,2018,june,SB,wild,m,38,mature
8,2018,june,SB,wild,m,42,mature
9,2018,june,SB,wild,f,42,mature
10,2018,june,SB,wild,m,34,mature
11,2018,june,SB,wild,m,48,mature
12,2018,june,SB,wild,f,42,late active
13,2018,june,SB,wild,m,36,mature
1,2018,june,SB,hatchery,m,54,mature
2,2018,june,SB,hatchery,m,47,late active
3,2018,june,SB,hatchery,f,46,mature
4,2018,june,SB,hatchery,m,35,mature
5,2018,june,SB,hatchery,m,38,mature
6,2018,june,SB,hatchery,m,41,mature
7,2018,june,SB,hatchery,m,53,mature
8,2018,june,SB,hatchery,m,56,mature
9,2018,june,SB,hatchery,f,55,late active
10,2018,june,SB,hatchery,m,60,spawned
11,2018,june,SB,hatchery,m,54,mature
12,2018,june,SB,hatchery,m,53,mature
13,2018,june,SB,hatchery,f,57,late active
1,2018,june,SB,aquaculture,m,80,late active
2,2018,june,SB,aquaculture,m,58,mature
3,2018,june,SB,aquaculture,m,62,mature
4,2018,june,SB,aquaculture,m,42,mature
5,2018,june,SB,aquaculture,f,54,mature
6,2018,june,SB,aquaculture,m,43,mature
7,2018,june,SB,aquaculture,f,74,mature
8,2018,june,SB,aquaculture,f,77,mature
9,2018,june,SB,aquaculture,f,47,late active
10,2018,june,SB,aquaculture,m,57,mature
11,2018,june,SB,aquaculture,m,41,mature
12,2018,june,SB,aquaculture,m,45,early active
13,2018,june,SB,aquaculture,m,75,mature
1,2018,june,PGB,wild,f,59,early active
2,2018,june,PGB,wild,m,45,late active
3,2018,june,PGB,wild,m,53,early active
4,2018,june,PGB,wild,f,44,late active
5,2018,june,PGB,wild,m,42,early active
6,2018,june,PGB,wild,m,37,early active
7,2018,june,PGB,wild,m,50,early active
8,2018,june,PGB,wild,f,51,late active
9,2018,june,PGB,wild,f,50,late active
10,2018,june,PGB,wild,m,43,early active
11,2018,june,PGB,wild,m,43,early active
12,2018,june,PGB,wild,f,42,late active
13,2018,june,PGB,wild,m,44,late active
1,2018,june,PGB,aquaculture,m,61,early active
2,2018,june,PGB,aquaculture,m,72,late active
3,2018,june,PGB,aquaculture,m,52,late active
4,2018,june,PGB,aquaculture,m,91,early active
5,2018,june,PGB,aquaculture,m,78,mature
6,2018,june,PGB,aquaculture,f,93,late active
7,2018,june,PGB,aquaculture,f,96,late active
8,2018,june,PGB,aquaculture,m,67,late active
9,2018,june,PGB,aquaculture,m,82,late active
11,2018,june,PGB,aquaculture,m,69,spawned
12,2018,june,PGB,aquaculture,m,59,early active
13,2018,june,PGB,aquaculture,m,80,mature
1,2018,july,HH,wild,m,51,mature
2,2018,july,HH,wild,m,55,mature
3,2018,july,HH,wild,f,74,mature
4,2018,july,HH,wild,m,32,mature
5,2018,july,HH,wild,f,34,late active
6,2018,july,HH,wild,m,41,mature
7,2018,july,HH,wild,f,44,mature
8,2018,july,HH,wild,f,35,late active
9,2018,july,HH,wild,m,34,mature
10,2018,july,HH,wild,f,46,mature
11,2018,july,HH,wild,m,25,mature
12,2018,july,HH,wild,f,39,late active
13,2018,july,HH,wild,m,29,mature
14,2018,july,HH,wild,m,44,mature
15,2018,july,HH,wild,f,41,mature
16,2018,july,HH,wild,f,44,late active
17,2018,july,HH,wild,m,43,mature
18,2018,july,HH,wild,f,41,late active
19,2018,july,HH,wild,m,33,mature
20,2018,july,HH,wild,f,30,mature
1,2018,july,HH,hatchery,f,33,mature
2,2018,july,HH,hatchery,f,27,mature
3,2018,july,HH,hatchery,m,29,early active
4,2018,july,HH,hatchery,m,31,mature
5,2018,july,HH,hatchery,f,36,late active
6,2018,july,HH,hatchery,m,38,late active
7,2018,july,HH,hatchery,m,32,mature
8,2018,july,HH,hatchery,m,42,late active
9,2018,july,HH,hatchery,m,43,mature
10,2018,july,HH,hatchery,f,42,mature
11,2018,july,HH,hatchery,m,27,mature
