Development Stage,Proportion,Location,Date,Strain
early active,0.076923077,HH,June 15-21,Wild
late active,0.461538462,HH,June 15-21,Wild
mature,0.461538462,HH,June 15-21,Wild
spawning,0,HH,June 15-21,Wild
reabsorbing,0,HH,June 15-21,Wild
early active,0.076923077,SB,June 15-21,Wild
late active,0.076923077,SB,June 15-21,Wild
mature,0.692307692,SB,June 15-21,Wild
spawning,0.153846154,SB,June 15-21,Wild
reabsorbing,0,SB,June 15-21,Wild
early active,0,RED,June 15-21,Wild
late active,0,RED,June 15-21,Wild
mature,0,RED,June 15-21,Wild
spawning,0,RED,June 15-21,Wild
reabsorbing,0,RED,June 15-21,Wild
early active,0.538461538,PGB,June 15-21,Wild
late active,0.461538462,PGB,June 15-21,Wild
mature,0,PGB,June 15-21,Wild
spawning,0,PGB,June 15-21,Wild
reabsorbing,0,PGB,June 15-21,Wild
early active,0,HH,July 8-13,Wild
late active,0.25,HH,July 8-13,Wild
mature,0.75,HH,July 8-13,Wild
spawning,0,HH,July 8-13,Wild
reabsorbing,0,HH,July 8-13,Wild
early active,0.15,SB,July 8-13,Wild
late active,0.35,SB,July 8-13,Wild
mature,0.5,SB,July 8-13,Wild
spawning,0,SB,July 8-13,Wild
reabsorbing,0,SB,July 8-13,Wild
early active,0,RED,July 8-13,Wild
late active,0,RED,July 8-13,Wild
mature,0.4,RED,July 8-13,Wild
spawning,0,RED,July 8-13,Wild
reabsorbing,0.6,RED,July 8-13,Wild
early active,0.05,PGB,July 8-13,Wild
late active,0.3,PGB,July 8-13,Wild
mature,0.4,PGB,July 8-13,Wild
spawning,0.1,PGB,July 8-13,Wild
reabsorbing,0.15,PGB,July 8-13,Wild
early active,0,HH,Aug 8-13,Wild
late active,0.210526316,HH,Aug 8-13,Wild
mature,0.578947368,HH,Aug 8-13,Wild
spawning,0.105263158,HH,Aug 8-13,Wild
reabsorbing,0.105263158,HH,Aug 8-13,Wild
early active,0,SB,Aug 8-13,Wild
late active,0.2,SB,Aug 8-13,Wild
mature,0.7,SB,Aug 8-13,Wild
spawning,0.05,SB,Aug 8-13,Wild
reabsorbing,0.05,SB,Aug 8-13,Wild
early active,0,RED,Aug 8-13,Wild
late active,0,RED,Aug 8-13,Wild
mature,0,RED,Aug 8-13,Wild
spawning,0,RED,Aug 8-13,Wild
reabsorbing,0,RED,Aug 8-13,Wild
early active,0,PGB,Aug 8-13,Wild
late active,0,PGB,Aug 8-13,Wild
mature,0.444444444,PGB,Aug 8-13,Wild
spawning,0.055555556,PGB,Aug 8-13,Wild
reabsorbing,0.5,PGB,Aug 8-13,Wild
