site,year,month,date,temp,sal
IRV,2018,Jan,Jan 2018,0.384268914,5.537053091
IRV,2018,Feb,Feb 2018,2.231456208,2.655595238
IRV,2018,Mar,Mar 2018,4.388004042,3.15640793
IRV,2018,Apr,Apr 2018,8.265459083,1.907184028
IRV,2018,May,May 2018,16.60781495,3.093009741
IRV,2018,Jun,Jun 2018,22.37454429,6.93194927
IRV,2018,Jul,Jul 2018,26.62531021,8.711195835
IRV,2018,Aug,Aug 2018,27.39984335,5.331463758
IRV,2018,Sep,Sep 2018,24.60252277,5.973150097
IRV,2018,Oct,Oct 2018,16.503585,2.436738864
IRV,2018,Nov,Nov 2018,9.645138214,1.589785417
IRV,2018,Dec,Dec 2018,4.031818812,1.987949618
HH,2018,Jan,Jan 2018,,
HH,2018,Feb,Feb 2018,,
HH,2018,Mar,Mar 2018,,
HH,2018,Apr,Apr 2018,,
HH,2018,May,May 2018,18.6,4.1
HH,2018,Jun,Jun 2018,20.85,10.45
HH,2018,Jul,Jul 2018,31.1,9.75
HH,2018,Aug,Aug 2018,31.3,5.5
HH,2018,Sep,Sep 2018,,
HH,2018,Oct,Oct 2018,20.9,2.8
HH,2018,Nov,Nov 2018,,
HH,2018,Dec,Dec 2018,,
SB,2018,Jan,Jan 2018,,
SB,2018,Feb,Feb 2018,,
SB,2018,Mar,Mar 2018,4.895,10.985
SB,2018,Apr,Apr 2018,5.695,11.99
SB,2018,May,May 2018,15.76666667,9.138333333
SB,2018,Jun,Jun 2018,20.09666667,12.66
SB,2018,Jul,Jul 2018,25.8386,13.04050456
SB,2018,Aug,Aug 2018,26.9823,6.289470489
SB,2018,Sep,Sep 2018,24.3159,8.575415942
SB,2018,Oct,Oct 2018,17.9552,4.595057272
SB,2018,Nov,Nov 2018,,
SB,2018,Dec,Dec 2018,,
RED,2018,Jan,Jan 2018,1.425,22.82
RED,2018,Feb,Feb 2018,,
RED,2018,Mar,Mar 2018,,
RED,2018,Apr,Apr 2018,5.89,20.215
RED,2018,May,May 2018,16.59108,18.75027
RED,2018,Jun,Jun 2018,19.31333,22.30579
RED,2018,Jul,Jul 2018,23.0718,23.96653
RED,2018,Aug,Aug 2018,24.68822,19.70314
RED,2018,Sep,Sep 2018,23.51531,20.51117
