Development Stage,Proportion,Location,Date,Strain
early active,0,IRV,July 28- Aug 1,aq
late active,0,IRV,July 28- Aug 1,aq
mature,0,IRV,July 28- Aug 1,aq
spawning,0,IRV,July 28- Aug 1,aq
reabsorbing,0,IRV,July 28- Aug 1,aq
early active,0,HH,July 28- Aug 1,aq
late active,0,HH,July 28- Aug 1,aq
mature,0,HH,July 28- Aug 1,aq
spawning,0,HH,July 28- Aug 1,aq
reabsorbing,0,HH,July 28- Aug 1,aq
early active,0,PGB,July 28- Aug 1,aq
late active,0,PGB,July 28- Aug 1,aq
mature,0.05,PGB,July 28- Aug 1,aq
spawning,0.4,PGB,July 28- Aug 1,aq
reabsorbing,0.55,PGB,July 28- Aug 1,aq
early active,0,KCC,July 28- Aug 1,aq
late active,0,KCC,July 28- Aug 1,aq
mature,0.058823529,KCC,July 28- Aug 1,aq
spawning,0.058823529,KCC,July 28- Aug 1,aq
reabsorbing,0.882352941,KCC,July 28- Aug 1,aq
early active,0,IRV,Sept 1-4,aq
late active,0,IRV,Sept 1-4,aq
mature,0,IRV,Sept 1-4,aq
spawning,0,IRV,Sept 1-4,aq
reabsorbing,0,IRV,Sept 1-4,aq
early active,0,HH,Sept 1-4,aq
late active,0,HH,Sept 1-4,aq
mature,0,HH,Sept 1-4,aq
spawning,0,HH,Sept 1-4,aq
reabsorbing,0,HH,Sept 1-4,aq
early active,0,PGB,Sept 1-4,aq
late active,0,PGB,Sept 1-4,aq
mature,0,PGB,Sept 1-4,aq
spawning,0.15,PGB,Sept 1-4,aq
reabsorbing,0.85,PGB,Sept 1-4,aq
early active,0,KCC,Sept 1-4,aq
late active,0,KCC,Sept 1-4,aq
mature,0,KCC,Sept 1-4,aq
spawning,0,KCC,Sept 1-4,aq
reabsorbing,1,KCC,Sept 1-4,aq
