Development Stage,Proportion,Location,Date,Strain
early active,0.230769231,HH,June 15-21,Hatchery
late active,0.384615385,HH,June 15-21,Hatchery
mature,0.384615385,HH,June 15-21,Hatchery
spawning,0,HH,June 15-21,Hatchery
reabsorbing,0,HH,June 15-21,Hatchery
early active,0,SB,June 15-21,Hatchery
late active,0.230769231,SB,June 15-21,Hatchery
mature,0.692307692,SB,June 15-21,Hatchery
spawning,0.076923077,SB,June 15-21,Hatchery
reabsorbing,0,SB,June 15-21,Hatchery
early active,0,RED,June 15-21,Hatchery
late active,0,RED,June 15-21,Hatchery
mature,0,RED,June 15-21,Hatchery
spawning,0,RED,June 15-21,Hatchery
reabsorbing,0,RED,June 15-21,Hatchery
early active,0,PGB,June 15-21,Hatchery
late active,0,PGB,June 15-21,Hatchery
mature,0,PGB,June 15-21,Hatchery
spawning,0,PGB,June 15-21,Hatchery
reabsorbing,0,PGB,June 15-21,Hatchery
early active,0.083333333,HH,July 8-13,Hatchery
late active,0.333333333,HH,July 8-13,Hatchery
mature,0.583333333,HH,July 8-13,Hatchery
spawning,0,HH,July 8-13,Hatchery
reabsorbing,0,HH,July 8-13,Hatchery
early active,0,SB,July 8-13,Hatchery
late active,0.15,SB,July 8-13,Hatchery
mature,0.85,SB,July 8-13,Hatchery
spawning,0,SB,July 8-13,Hatchery
reabsorbing,0,SB,July 8-13,Hatchery
early active,0,RED,July 8-13,Hatchery
late active,0,RED,July 8-13,Hatchery
mature,0,RED,July 8-13,Hatchery
spawning,0,RED,July 8-13,Hatchery
reabsorbing,0,RED,July 8-13,Hatchery
early active,0,PGB,July 8-13,Hatchery
late active,0.055555556,PGB,July 8-13,Hatchery
mature,0.833333333,PGB,July 8-13,Hatchery
spawning,0.111111111,PGB,July 8-13,Hatchery
reabsorbing,0,PGB,July 8-13,Hatchery
early active,0,HH,Aug 8-13,Hatchery
late active,0.083333333,HH,Aug 8-13,Hatchery
mature,0.666666667,HH,Aug 8-13,Hatchery
spawning,0.25,HH,Aug 8-13,Hatchery
reabsorbing,0,HH,Aug 8-13,Hatchery
early active,0,SB,Aug 8-13,Hatchery
late active,0.25,SB,Aug 8-13,Hatchery
mature,0.4,SB,Aug 8-13,Hatchery
spawning,0.1,SB,Aug 8-13,Hatchery
reabsorbing,0.25,SB,Aug 8-13,Hatchery
early active,0,RED,Aug 8-13,Hatchery
late active,0,RED,Aug 8-13,Hatchery
mature,0,RED,Aug 8-13,Hatchery
spawning,0,RED,Aug 8-13,Hatchery
reabsorbing,0,RED,Aug 8-13,Hatchery
early active,0,PGB,Aug 8-13,Hatchery
late active,0.1,PGB,Aug 8-13,Hatchery
mature,0.05,PGB,Aug 8-13,Hatchery
spawning,0.3,PGB,Aug 8-13,Hatchery
reabsorbing,0.55,PGB,Aug 8-13,Hatchery
