Development Stage,Proportion,Location,Date,Strain
early active,0.076923077,HH,June 15-21,Wild
late active,0.461538462,HH,June 15-21,Wild
mature,0.461538462,HH,June 15-21,Wild
spawning,0,HH,June 15-21,Wild
reabsorbing,0,HH,June 15-21,Wild
early active,0.076923077,SB,June 15-21,Wild
late active,0.076923077,SB,June 15-21,Wild
mature,0.692307692,SB,June 15-21,Wild
spawning,0.153846154,SB,June 15-21,Wild
reabsorbing,0,SB,June 15-21,Wild
early active,0,RED,June 15-21,Wild
late active,0,RED,June 15-21,Wild
mature,0,RED,June 15-21,Wild
spawning,0,RED,June 15-21,Wild
reabsorbing,0,RED,June 15-21,Wild
early active,0.538461538,PGB,June 15-21,Wild
late active,0.461538462,PGB,June 15-21,Wild
mature,0,PGB,June 15-21,Wild
spawning,0,PGB,June 15-21,Wild
reabsorbing,0,PGB,June 15-21,Wild
early active,0,HH,July 8-13,Wild
late active,0.25,HH,July 8-13,Wild
mature,0.75,HH,July 8-13,Wild
spawning,0,HH,July 8-13,Wild
reabsorbing,0,HH,July 8-13,Wild
early active,0.15,SB,July 8-13,Wild
late active,0.35,SB,July 8-13,Wild
mature,0.5,SB,July 8-13,Wild
spawning,0,SB,July 8-13,Wild
reabsorbing,0,SB,July 8-13,Wild
early active,0,RED,July 8-13,Wild
late active,0,RED,July 8-13,Wild
mature,0.4,RED,July 8-13,Wild
spawning,0,RED,July 8-13,Wild
reabsorbing,0.6,RED,July 8-13,Wild
early active,0.058823529,PGB,July 8-13,Wild
late active,0.352941176,PGB,July 8-13,Wild
mature,0.470588235,PGB,July 8-13,Wild
spawning,0.117647059,PGB,July 8-13,Wild
reabsorbing,0,PGB,July 8-13,Wild
early active,0,HH,Aug 8-13,Wild
late active,0.235294118,HH,Aug 8-13,Wild
mature,0.647058824,HH,Aug 8-13,Wild
spawning,0.117647059,HH,Aug 8-13,Wild
reabsorbing,0,HH,Aug 8-13,Wild
early active,0,SB,Aug 8-13,Wild
late active,0.210526316,SB,Aug 8-13,Wild
mature,0.736842105,SB,Aug 8-13,Wild
spawning,0.052631579,SB,Aug 8-13,Wild
reabsorbing,0,SB,Aug 8-13,Wild
early active,0,RED,Aug 8-13,Wild
late active,0,RED,Aug 8-13,Wild
mature,0,RED,Aug 8-13,Wild
spawning,0,RED,Aug 8-13,Wild
reabsorbing,0,RED,Aug 8-13,Wild
early active,0,PGB,Aug 8-13,Wild
late active,0,PGB,Aug 8-13,Wild
mature,0.888888889,PGB,Aug 8-13,Wild
spawning,0.111111111,PGB,Aug 8-13,Wild
reabsorbing,0,PGB,Aug 8-13,Wild
