Development Stage,Proportion,Location,Date,Strain
early active,0,IRV,July 28- Aug 1,wild
late active,0,IRV,July 28- Aug 1,wild
mature,0.95,IRV,July 28- Aug 1,wild
spawning,0.05,IRV,July 28- Aug 1,wild
reabsorbing,0,IRV,July 28- Aug 1,wild
early active,0,HH,July 28- Aug 1,wild
late active,0.05,HH,July 28- Aug 1,wild
mature,0.8,HH,July 28- Aug 1,wild
spawning,0.15,HH,July 28- Aug 1,wild
reabsorbing,0,HH,July 28- Aug 1,wild
early active,0,PGB,July 28- Aug 1,wild
late active,0,PGB,July 28- Aug 1,wild
mature,0.85,PGB,July 28- Aug 1,wild
spawning,0.15,PGB,July 28- Aug 1,wild
reabsorbing,0,PGB,July 28- Aug 1,wild
early active,0,KCC,July 28- Aug 1,wild
late active,0.05,KCC,July 28- Aug 1,wild
mature,0.5,KCC,July 28- Aug 1,wild
spawning,0.35,KCC,July 28- Aug 1,wild
reabsorbing,0.1,KCC,July 28- Aug 1,wild
early active,0,IRV,Sept 1-4,wild
late active,0,IRV,Sept 1-4,wild
mature,0.05,IRV,Sept 1-4,wild
spawning,0.3,IRV,Sept 1-4,wild
reabsorbing,0.65,IRV,Sept 1-4,wild
early active,0,HH,Sept 1-4,wild
late active,0,HH,Sept 1-4,wild
mature,0.055555556,HH,Sept 1-4,wild
spawning,0.333333333,HH,Sept 1-4,wild
reabsorbing,0.611111111,HH,Sept 1-4,wild
early active,0,PGB,Sept 1-4,wild
late active,0,PGB,Sept 1-4,wild
mature,0,PGB,Sept 1-4,wild
spawning,0.294117647,PGB,Sept 1-4,wild
reabsorbing,0.705882353,PGB,Sept 1-4,wild
early active,0,KCC,Sept 1-4,wild
late active,0,KCC,Sept 1-4,wild
mature,0,KCC,Sept 1-4,wild
spawning,0.315789474,KCC,Sept 1-4,wild
reabsorbing,0.684210526,KCC,Sept 1-4,wild
