diversity,month,location,strain,year
0.91101754,june,hh,native,2018
0.93715585,june,sb,native,2018
0.69018568,june,pgb,native,2018
1.07339428,june,hh,hatchery,2018
0.79026797,june,sb,hatchery,2018
0.69018568,june,hh,aquaculture,2018
0.68709203,june,sb,aquaculture,2018
1.19884931,june,pbg,aquaculture,2018
0.562335145,july,hh,native,2018
0.998579332,july,sb,native,2018
1.140720196,july,pgb,native,2018
0.887694275,july,hh,hatchery,2018
0.422709088,july,sb,hatchery,2018
0.556646905,july,pgb,hatchery,2018
0.998579332,july,hh,aquaculture,2018
1.105889879,july,sb,aquaculture,2018
1.233684138,july,pgb,aquaculture,2018
0.873900414,august,hh,native,2018
0.708018976,august,sb,native,2018
0.348832096,august,pgb,native,2018
0.823959216,august,hh,hatchery,2018
0.823959216,august,sb,hatchery,2018
1.070047315,august,pgb,hatchery,2018
1.345152922,august,hh,aquaculture,2018
1.345152922,august,sb,aquaculture,2018
0.823719732,august,pgb,aquaculture,2018
0.123344456,july/aug,IRV,native,2019
0.380797201,july/aug,HH,native,2019
0.262643923,july/aug,PGB,native,2019
0.679775497,july/aug,KCC,native,2019
0.491468074,sept,IRV,native,2019
0.514302634,sept,HH,native,2019
0.37640315,sept,PGB,native,2019
0.387498545,sept,KCC,native,2019
